"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","25 Aug 2008","","","","3427.70"
"NIFTY SMALLCAP 100","22 Aug 2008","","","","3423.50"
"NIFTY SMALLCAP 100","21 Aug 2008","","","","3423.50"
"NIFTY SMALLCAP 100","20 Aug 2008","","","","3506.70"
"NIFTY SMALLCAP 100","19 Aug 2008","","","","3456.10"
"NIFTY SMALLCAP 100","18 Aug 2008","","","","3454.20"
"NIFTY SMALLCAP 100","14 Aug 2008","","","","3493.40"
"NIFTY SMALLCAP 100","13 Aug 2008","","","","3560.50"
"NIFTY SMALLCAP 100","12 Aug 2008","","","","3557.40"
"NIFTY SMALLCAP 100","11 Aug 2008","","","","3588.40"
"NIFTY SMALLCAP 100","08 Aug 2008","","","","3533.10"
"NIFTY SMALLCAP 100","07 Aug 2008","","","","3523.30"
"NIFTY SMALLCAP 100","06 Aug 2008","","","","3499.90"
"NIFTY SMALLCAP 100","05 Aug 2008","","","","3510.30"
"NIFTY SMALLCAP 100","04 Aug 2008","","","","3466.00"
"NIFTY SMALLCAP 100","01 Aug 2008","","","","3414.90"
"NIFTY SMALLCAP 100","31 Jul 2008","","","","3366.60"
"NIFTY SMALLCAP 100","30 Jul 2008","","","","3368.30"
"NIFTY SMALLCAP 100","29 Jul 2008","","","","3319.60"
"NIFTY SMALLCAP 100","28 Jul 2008","","","","3385.00"
"NIFTY SMALLCAP 100","25 Jul 2008","","","","3342.30"
"NIFTY SMALLCAP 100","24 Jul 2008","","","","3353.00"
"NIFTY SMALLCAP 100","23 Jul 2008","","","","3346.00"
"NIFTY SMALLCAP 100","22 Jul 2008","","","","3204.50"
"NIFTY SMALLCAP 100","21 Jul 2008","","","","3155.80"
"NIFTY SMALLCAP 100","18 Jul 2008","","","","3161.80"
"NIFTY SMALLCAP 100","17 Jul 2008","","","","3127.10"
"NIFTY SMALLCAP 100","16 Jul 2008","","","","3111.30"
"NIFTY SMALLCAP 100","15 Jul 2008","","","","3151.60"
"NIFTY SMALLCAP 100","14 Jul 2008","","","","3244.40"
"NIFTY SMALLCAP 100","11 Jul 2008","","","","3271.60"
"NIFTY SMALLCAP 100","10 Jul 2008","","","","3327.70"
"NIFTY SMALLCAP 100","09 Jul 2008","","","","3325.70"
"NIFTY SMALLCAP 100","08 Jul 2008","","","","3245.90"
"NIFTY SMALLCAP 100","07 Jul 2008","","","","3269.30"
"NIFTY SMALLCAP 100","04 Jul 2008","","","","3230.10"
"NIFTY SMALLCAP 100","03 Jul 2008","","","","3144.50"
"NIFTY SMALLCAP 100","02 Jul 2008","","","","3229.70"
"NIFTY SMALLCAP 100","01 Jul 2008","","","","3132.20"
"NIFTY SMALLCAP 100","30 Jun 2008","","","","3289.40"
"NIFTY SMALLCAP 100","27 Jun 2008","","","","3398.30"
"NIFTY SMALLCAP 100","26 Jun 2008","","","","3494.60"
"NIFTY SMALLCAP 100","25 Jun 2008","","","","3487.80"
"NIFTY SMALLCAP 100","24 Jun 2008","","","","3462.40"
"NIFTY SMALLCAP 100","23 Jun 2008","","","","3503.40"
